Order ID,Order Date,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-00022,2024-09-10,East,Furniture,Tables,Office Table,4,0.2,728.72,-143.81
ORD-00023,2025-10-08,West,Furniture,Chairs,Office Chair,6,0,2526.25,-131.11
ORD-00024,2025-05-12,East,Technology,Phones,Office Phone,8,0.05,4992.82,893.46
ORD-00025,2024-07-13,West,Furniture,Bookcases,Metal Bookcase,6,0.15,1967.31,353.85
ORD-00026,2024-02-25,West,Furniture,Tables,Computer Table,6,0,1283.71,-118.75
ORD-00027,2025-04-04,East,Office Supplies,Binders,Ring Binder,8,0.05,5546.58,-875.38
ORD-00028,2025-07-17,West,Furniture,Bookcases,Wood Bookcase,2,0.05,295.7,9.14
ORD-00029,2024-08-06,South,Furniture,Chairs,Ergonomic Chair,1,0.15,218.35,31.26
ORD-00030,2025-04-10,Central,Office Supplies,Storage,Desk Organizer,8,0.05,1328.15,-122.66
ORD-00031,2024-02-29,West,Technology,Accessories,Keyboard,1,0.2,372.3,71.82
ORD-00032,2025-06-27,East,Furniture,Bookcases,Wood Bookcase,3,0,1452.38,189.68
ORD-00033,2024-08-28,South,Furniture,Bookcases,Wood Bookcase,1,0.2,79.75,5.77
ORD-00034,2025-08-01,Central,Office Supplies,Binders,Presentation Binder,6,0.05,1346.04,-178.08
ORD-00035,2025-10-22,Central,Office Supplies,Paper,Copy Paper,1,0.15,485.59,20.14
ORD-00036,2024-04-12,West,Technology,Phones,Office Phone,5,0.05,3692.97,785.49
ORD-00037,2024-09-07,Central,Office Supplies,Binders,Ring Binder,5,0.2,3740.18,528.36
ORD-00038,2025-06-25,West,Technology,Machines,Scanner,2,0.05,446.91,96.88
ORD-00039,2025-07-20,East,Office Supplies,Paper,Notebook Paper,4,0.3,1063.55,65.14
ORD-00040,2024-09-27,South,Office Supplies,Binders,Premium Binder,7,0.1,371.2,-19.14
ORD-00041,2024-05-13,Central,Furniture,Bookcases,Metal Bookcase,7,0.2,183.16,-35.79
ORD-00042,2025-12-08,East,Technology,Phones,Business Phone,3,0.15,344.79,-26.1
ORD-00043,2024-02-10,Central,Furniture,Bookcases,Wood Bookcase,2,0.1,1225.56,247.2
ORD-00044,2025-02-20,East,Furniture,Chairs,Office Chair,7,0,1119.31,274.53
ORD-00045,2025-02-25,East,Office Supplies,Binders,Presentation Binder,2,0.15,1348.06,239.22
ORD-00046,2024-08-15,East,Office Supplies,Paper,Printer Paper,4,0.05,151.91,-15.75
ORD-00047,2024-12-02,Central,Furniture,Tables,Conference Table,7,0.3,5084.8,-42.41
ORD-00048,2024-01-29,West,Office Supplies,Binders,Presentation Binder,5,0,522.77,10.4
ORD-00049,2024-11-17,South,Technology,Machines,Printer,7,0.2,1118.94,-234.51
ORD-00050,2025-03-22,West,Technology,Machines,Shredder,4,0.1,1390.01,321.76
ORD-00051,2024-12-04,Central,Technology,Phones,Office Phone,5,0.2,1240.9,-52.29
ORD-00052,2025-02-16,Central,Technology,Phones,Smartphone,7,0.3,4878.81,275.98
ORD-00053,2024-06-27,Central,Office Supplies,Storage,File Cabinet,5,0.1,896.72,140.29
ORD-00054,2025-09-13,Central,Office Supplies,Paper,Printer Paper,4,0.2,1478.52,272.85
ORD-00055,2024-06-22,West,Office Supplies,Storage,Desk Organizer,6,0,3950.22,653.85
ORD-00056,2025-11-19,Central,Furniture,Chairs,Office Chair,1,0,210.98,8.14
ORD-00057,2024-03-15,South,Office Supplies,Storage,Desk Organizer,4,0.3,2083.68,-57.48
ORD-00058,2024-09-06,East,Technology,Machines,Printer,2,0.15,367.09,55.94
ORD-00059,2025-12-13,South,Furniture,Bookcases,Wood Bookcase,2,0.15,238.71,-0.9
ORD-00060,2025-06-27,Central,Office Supplies,Storage,Desk Organizer,7,0.2,2445.95,-383.49
ORD-00061,2025-05-01,South,Office Supplies,Binders,Presentation Binder,5,0.2,1890.43,-226.75
ORD-00062,2025-03-26,West,Technology,Accessories,Keyboard,5,0.1,1313.2,57.08
ORD-00063,2024-05-21,East,Furniture,Tables,Computer Table,3,0.3,518.6,-33.27
ORD-00064,2024-12-04,South,Office Supplies,Binders,Premium Binder,7,0.15,4889.9,250.25
ORD-00065,2025-12-13,West,Technology,Accessories,Mouse,1,0.1,246.59,-6.31
ORD-00066,2025-03-05,East,Office Supplies,Binders,Ring Binder,7,0.15,287.28,-18.06
ORD-00067,2025-11-26,South,Technology,Phones,Business Phone,3,0.2,1244.36,232.93
ORD-00068,2025-08-29,West,Furniture,Bookcases,Metal Bookcase,3,0.15,467.05,-45.69
ORD-00069,2024-12-01,East,Office Supplies,Paper,Printer Paper,7,0.1,4139.82,735.58
ORD-00070,2024-09-15,West,Office Supplies,Binders,Presentation Binder,1,0.1,190.02,-32.96
ORD-00071,2025-10-29,West,Furniture,Chairs,Office Chair,1,0.2,131.92,-22.68
ORD-00072,2025-11-16,West,Technology,Phones,Business Phone,5,0.1,735.52,54.67
ORD-00073,2024-04-27,East,Office Supplies,Binders,Presentation Binder,1,0.1,457.39,97.28
ORD-00074,2025-01-19,South,Technology,Phones,Smartphone,4,0,2255.24,-93.08
ORD-00075,2025-12-01,West,Technology,Phones,Business Phone,7,0.3,2001.07,-44.54
ORD-00076,2024-12-15,West,Office Supplies,Paper,Copy Paper,7,0.1,3520.04,620.25
ORD-00077,2025-12-25,East,Office Supplies,Binders,Presentation Binder,5,0.2,3089.38,54.25
ORD-00078,2025-05-10,South,Office Supplies,Storage,Desk Organizer,5,0.1,3336.14,590.95
ORD-00079,2024-03-29,Central,Office Supplies,Binders,Ring Binder,7,0.1,289.28,53.93
ORD-00080,2024-07-05,South,Furniture,Tables,Conference Table,6,0.1,4133.9,485.92
ORD-00081,2024-10-09,West,Technology,Phones,Smartphone,4,0.3,1246.95,0.48
ORD-00082,2024-09-03,South,Technology,Machines,Scanner,8,0,740.65,-57.82
ORD-00083,2025-12-09,East,Office Supplies,Storage,Desk Organizer,6,0.15,2608.62,-154.88
ORD-00084,2025-07-17,Central,Office Supplies,Storage,Storage Box,5,0.1,1053.46,-157.49
ORD-00085,2024-07-16,Central,Furniture,Bookcases,Wood Bookcase,4,0.05,2354.64,-153.78
ORD-00086,2025-08-26,Central,Furniture,Chairs,Ergonomic Chair,4,0.1,623.86,-123.83
ORD-00087,2025-06-30,East,Office Supplies,Binders,Premium Binder,5,0.3,3498.3,134.4
ORD-00088,2025-05-17,West,Furniture,Bookcases,Metal Bookcase,8,0.15,2799.46,-371.47
ORD-00089,2024-02-22,Central,Office Supplies,Binders,Premium Binder,7,0.15,524.07,37.76
ORD-00090,2024-02-24,East,Furniture,Bookcases,Metal Bookcase,2,0.05,221.97,35.33
ORD-00091,2025-09-12,East,Technology,Accessories,Mouse,8,0.1,5389.25,1349.55
ORD-00092,2024-11-08,West,Technology,Machines,Printer,4,0.3,683.02,33.33
ORD-00093,2024-06-09,East,Furniture,Bookcases,Wood Bookcase,3,0,1015.93,139.29
ORD-00094,2025-04-26,Central,Furniture,Chairs,Ergonomic Chair,5,0.3,3193.53,-709.79
ORD-00095,2024-08-27,Central,Technology,Machines,Shredder,4,0.15,421.67,-48.11
ORD-00096,2024-06-01,Central,Furniture,Chairs,Office Chair,3,0.1,1416.09,246.61
ORD-00097,2024-10-22,South,Furniture,Tables,Computer Table,5,0.3,1544.55,-200.43
ORD-00098,2025-07-06,South,Office Supplies,Binders,Presentation Binder,1,0.15,570.7,34.36
ORD-00099,2024-01-27,West,Furniture,Bookcases,Wood Bookcase,5,0.2,244.06,28.77
ORD-00100,2025-04-26,South,Office Supplies,Binders,Presentation Binder,7,0.3,4241.84,809.2
ORD-00101,2025-04-26,Central,Office Supplies,Paper,Printer Paper,2,0.05,547.56,69.32
ORD-00102,2024-10-22,South,Technology,Phones,Business Phone,2,0.1,422.9,-64.14
ORD-00103,2025-02-17,West,Technology,Machines,Scanner,7,0,1164.2,-15.81
ORD-00104,2025-05-25,South,Furniture,Chairs,Ergonomic Chair,3,0.1,1058.06,122.94
ORD-00105,2024-05-04,West,Technology,Machines,Printer,3,0.1,1315.24,64.49
ORD-00106,2024-04-05,East,Furniture,Tables,Office Table,3,0.15,2158.32,-179.67
ORD-00107,2025-12-23,Central,Office Supplies,Paper,Printer Paper,4,0.15,1732.45,-71.12
ORD-00108,2025-09-05,East,Furniture,Tables,Conference Table,6,0.2,1301.85,-297.89
ORD-00109,2024-11-01,South,Furniture,Tables,Computer Table,8,0.1,2178.56,317.9
ORD-00110,2025-01-21,South,Office Supplies,Binders,Presentation Binder,4,0.2,1211.13,198.34
ORD-00111,2025-02-24,West,Office Supplies,Storage,Storage Box,7,0.15,5329.11,783.38
ORD-00112,2025-10-29,East,Office Supplies,Binders,Premium Binder,6,0,4211.21,94.92
ORD-00113,2025-06-22,South,Furniture,Bookcases,Wood Bookcase,7,0.3,5028.27,-1109.13
ORD-00114,2024-09-28,Central,Technology,Machines,Scanner,2,0.1,1335.41,254.13
ORD-00115,2025-01-24,Central,Technology,Machines,Scanner,1,0.2,69.7,4.21
ORD-00116,2024-10-21,East,Technology,Phones,Business Phone,2,0.3,1052.71,-219.77
ORD-00117,2024-06-19,Central,Furniture,Chairs,Ergonomic Chair,1,0.1,292.11,-2.01
ORD-00118,2024-09-07,South,Technology,Machines,Printer,3,0.05,241.73,50.3
ORD-00119,2025-09-26,East,Office Supplies,Storage,File Cabinet,4,0.15,1992.63,-12.15
ORD-00120,2025-11-13,West,Office Supplies,Paper,Notebook Paper,3,0,1093.65,-23.01
ORD-00121,2025-08-24,Central,Technology,Accessories,Headset,5,0.15,3269.31,-411.48
ORD-00122,2025-01-28,South,Furniture,Chairs,Ergonomic Chair,6,0.2,1429.45,131.04
ORD-00123,2024-01-23,South,Office Supplies,Binders,Presentation Binder,1,0.2,571.17,87.45
ORD-00124,2024-10-20,East,Technology,Accessories,Keyboard,4,0.2,818.86,96.27
ORD-00125,2025-11-06,East,Technology,Phones,Office Phone,1,0.1,619.24,-117.44
ORD-00126,2025-01-08,East,Furniture,Tables,Conference Table,7,0.05,1220.89,206.69
ORD-00127,2025-01-09,Central,Furniture,Tables,Conference Table,5,0.3,3232.46,371.56
ORD-00128,2025-04-24,West,Furniture,Chairs,Conference Chair,7,0.2,2030.28,271.48
ORD-00129,2024-01-15,Central,Technology,Phones,Business Phone,6,0.3,3353.47,-450.73
ORD-00130,2025-01-25,Central,Furniture,Bookcases,Wood Bookcase,8,0,4025.97,1022.02
ORD-00131,2024-12-01,East,Technology,Phones,Office Phone,8,0.3,1892.24,-127.13
ORD-00132,2024-05-23,West,Furniture,Tables,Conference Table,2,0,406.29,27.33
ORD-00133,2025-02-01,South,Office Supplies,Storage,Desk Organizer,7,0.2,3983.15,-633
ORD-00134,2025-02-28,West,Office Supplies,Storage,Storage Box,5,0,2792.09,-223.52
ORD-00135,2025-03-31,East,Office Supplies,Binders,Presentation Binder,6,0.2,4122.94,274.67
ORD-00136,2024-03-03,South,Office Supplies,Binders,Premium Binder,8,0,4295.68,494.79
ORD-00137,2025-09-03,West,Furniture,Tables,Office Table,3,0.2,513.17,77.86
ORD-00138,2025-07-21,East,Technology,Phones,Smartphone,6,0.05,3763.22,307.27
ORD-00139,2024-10-10,East,Furniture,Bookcases,Metal Bookcase,3,0,1606.87,-270.18
ORD-00140,2024-01-16,Central,Furniture,Bookcases,Metal Bookcase,1,0.05,224.15,-30.08
ORD-00141,2025-03-07,West,Technology,Phones,Business Phone,8,0.1,3278.54,-507.63
ORD-00142,2025-05-30,East,Technology,Phones,Office Phone,5,0.15,2511.19,-510.2
ORD-00143,2025-05-05,South,Office Supplies,Storage,File Cabinet,8,0.3,5398.79,-1194.18
ORD-00144,2024-03-23,Central,Technology,Phones,Smartphone,3,0.1,1482.88,95.3
ORD-00145,2025-12-30,Central,Office Supplies,Storage,Desk Organizer,5,0.15,1993.96,-39.1
ORD-00146,2025-12-19,West,Technology,Machines,Shredder,4,0.15,1433.02,-161.06
ORD-00147,2024-12-13,South,Office Supplies,Paper,Notebook Paper,2,0.1,688.11,69.46
ORD-00148,2025-01-18,East,Technology,Accessories,Keyboard,2,0,185.44,-25.14
ORD-00149,2025-01-16,East,Technology,Phones,Office Phone,6,0.3,640.14,-59.11
ORD-00150,2025-11-12,South,Technology,Phones,Business Phone,5,0.1,491.44,13.96
ORD-00151,2024-06-07,South,Furniture,Chairs,Ergonomic Chair,6,0,3688.99,310.19
ORD-00152,2025-03-15,West,Technology,Machines,Shredder,5,0,803.62,115.11
ORD-00153,2024-11-12,Central,Office Supplies,Binders,Premium Binder,3,0.2,1518.28,-300.61
ORD-00154,2025-10-10,West,Furniture,Bookcases,Wood Bookcase,7,0.15,2518.77,-365.45
ORD-00155,2024-11-15,Central,Technology,Machines,Printer,1,0.05,140.99,12.93
ORD-00156,2025-11-21,West,Office Supplies,Paper,Notebook Paper,7,0.15,3325.09,-89.7
ORD-00157,2024-08-08,West,Office Supplies,Paper,Copy Paper,5,0.3,2540.14,-79.12
ORD-00158,2025-11-14,Central,Furniture,Chairs,Ergonomic Chair,1,0,179.45,45.73
ORD-00159,2024-05-20,Central,Office Supplies,Paper,Copy Paper,1,0.15,580.07,-79.28
ORD-00160,2025-01-24,East,Technology,Machines,Shredder,6,0,1978.29,319.18
ORD-00161,2025-03-22,West,Office Supplies,Binders,Ring Binder,7,0.2,2230.74,143.81
ORD-00162,2024-10-23,West,Office Supplies,Binders,Ring Binder,3,0.2,1079.8,94.18
ORD-00163,2025-01-05,West,Office Supplies,Binders,Premium Binder,7,0.2,2210.13,-428.37
ORD-00164,2024-11-13,Central,Furniture,Tables,Office Table,2,0.2,976.44,13.75
ORD-00165,2024-07-17,Central,Office Supplies,Storage,Desk Organizer,3,0.05,296.81,-22.19
ORD-00166,2024-06-26,East,Technology,Phones,Smartphone,8,0.15,4685.2,618.65
ORD-00167,2025-04-04,Central,Technology,Accessories,Keyboard,8,0,3086.07,340.82
ORD-00168,2024-10-08,West,Office Supplies,Storage,File Cabinet,5,0.15,1792.62,-342.98
ORD-00169,2024-10-20,West,Technology,Phones,Office Phone,7,0.15,3184.53,705.2
ORD-00170,2024-02-12,South,Technology,Machines,Printer,6,0.2,2228.65,-357.93
ORD-00171,2024-03-04,South,Furniture,Tables,Computer Table,2,0.2,995.56,-211.05
ORD-00172,2025-12-25,South,Office Supplies,Storage,Desk Organizer,3,0.1,909.16,-68.07
ORD-00173,2025-02-22,Central,Technology,Machines,Printer,6,0,1662.95,127.49
ORD-00174,2025-01-30,Central,Office Supplies,Storage,Desk Organizer,3,0.1,244.45,24.51
ORD-00175,2024-12-24,Central,Technology,Machines,Shredder,7,0.05,3346.56,799.76
ORD-00176,2024-11-13,South,Technology,Accessories,Keyboard,2,0.3,1004.47,-21.19
ORD-00177,2024-01-19,Central,Office Supplies,Binders,Premium Binder,6,0.15,980.39,237.73
ORD-00178,2024-06-07,West,Office Supplies,Binders,Presentation Binder,1,0.3,261.48,25.49
ORD-00179,2024-05-14,South,Furniture,Chairs,Office Chair,3,0.3,1002.84,-66.19
ORD-00180,2025-11-23,East,Office Supplies,Storage,Storage Box,8,0.05,3448.58,-172.93
ORD-00181,2025-04-25,East,Office Supplies,Storage,Desk Organizer,8,0.15,4775.25,670.62
ORD-00182,2025-05-29,South,Furniture,Chairs,Conference Chair,3,0.1,177.55,2.85
ORD-00183,2025-01-15,West,Technology,Machines,Printer,5,0,3076.16,-167.7
ORD-00184,2025-06-09,East,Office Supplies,Binders,Premium Binder,8,0.1,5816.99,-82.3
ORD-00185,2025-02-09,Central,Furniture,Tables,Office Table,6,0.05,248.77,58.63
ORD-00186,2025-10-27,Central,Furniture,Chairs,Office Chair,5,0.15,2709.13,-416.27
ORD-00187,2025-12-23,South,Office Supplies,Storage,File Cabinet,2,0,439.24,89.64
ORD-00188,2025-07-15,South,Furniture,Tables,Office Table,5,0,286.22,3.76
ORD-00189,2025-09-29,South,Furniture,Chairs,Ergonomic Chair,1,0.3,390.34,-56.1
ORD-00190,2024-05-27,Central,Office Supplies,Binders,Presentation Binder,6,0.05,2755.82,-293.04
ORD-00191,2025-11-15,West,Technology,Accessories,Keyboard,1,0.15,674.9,-133.28
ORD-00192,2025-01-31,Central,Office Supplies,Storage,File Cabinet,6,0,1733.68,272.45
ORD-00193,2025-10-05,West,Technology,Machines,Scanner,3,0,884.38,-21.46
ORD-00194,2025-10-20,East,Technology,Accessories,Headset,8,0.3,1200.11,-231.58
ORD-00195,2025-04-13,West,Office Supplies,Binders,Premium Binder,4,0,1064.66,-39.78
ORD-00196,2025-02-11,South,Office Supplies,Binders,Presentation Binder,4,0.1,1163.92,179.46
ORD-00197,2025-11-02,Central,Office Supplies,Binders,Ring Binder,7,0.15,4041.02,784.09
ORD-00198,2025-01-30,Central,Furniture,Tables,Computer Table,8,0.1,5779.5,195.73
ORD-00199,2024-03-25,South,Furniture,Tables,Computer Table,3,0.2,710.04,-129.8
ORD-00200,2024-12-01,Central,Office Supplies,Paper,Notebook Paper,7,0.05,3857.29,-118.76
ORD-00201,2024-02-13,Central,Technology,Accessories,Mouse,1,0,543.52,3.73
ORD-00202,2025-06-09,East,Furniture,Chairs,Conference Chair,8,0,947.68,-67.7
ORD-00203,2025-10-22,Central,Office Supplies,Paper,Notebook Paper,1,0.2,132.7,-3.06
ORD-00204,2025-01-14,Central,Office Supplies,Binders,Presentation Binder,3,0.2,872.73,-74.52
ORD-00205,2024-10-12,East,Furniture,Chairs,Conference Chair,3,0.15,1223.84,248.11
ORD-00206,2024-04-30,Central,Office Supplies,Storage,Storage Box,4,0.2,922.45,176.72
ORD-00207,2025-05-17,East,Furniture,Chairs,Office Chair,8,0.05,5695.66,69.78
ORD-00208,2024-03-30,Central,Technology,Accessories,Headset,2,0.2,841.5,151.48
ORD-00209,2024-06-10,East,Office Supplies,Storage,File Cabinet,2,0.05,1259.68,-105.31
ORD-00210,2025-05-20,West,Office Supplies,Storage,Desk Organizer,6,0.15,3735.59,135.44
ORD-00211,2025-09-18,West,Furniture,Tables,Conference Table,8,0.2,2587.19,-107.78
ORD-00212,2025-08-11,West,Furniture,Tables,Computer Table,2,0.15,737.95,15.12
ORD-00213,2024-05-11,East,Furniture,Tables,Computer Table,1,0,424.12,-17.01
ORD-00214,2024-06-14,Central,Technology,Phones,Business Phone,5,0,1077.36,120.8
ORD-00215,2025-07-18,Central,Furniture,Bookcases,Metal Bookcase,2,0.2,987.94,41.72
ORD-00216,2025-08-17,East,Furniture,Bookcases,Metal Bookcase,1,0,83.35,21.37
ORD-00217,2025-08-13,Central,Technology,Phones,Office Phone,7,0.2,3447.45,-3.11
ORD-00218,2025-10-04,Central,Technology,Accessories,Mouse,4,0.3,1245.98,-57.78
ORD-00219,2025-12-06,West,Furniture,Tables,Conference Table,8,0.15,1379.36,84.92
ORD-00220,2024-11-16,Central,Technology,Accessories,Mouse,3,0.1,1233.43,-192.61
ORD-00221,2024-09-04,South,Furniture,Tables,Conference Table,4,0.05,377.28,-22.26
ORD-00222,2025-01-28,South,Furniture,Chairs,Ergonomic Chair,6,0.05,3645.27,133.79
ORD-00223,2025-06-11,South,Office Supplies,Paper,Printer Paper,1,0,757.28,39.76
ORD-00224,2024-09-03,East,Technology,Accessories,Keyboard,1,0.1,395.87,79.52
ORD-00225,2025-10-31,South,Office Supplies,Storage,File Cabinet,2,0.15,239.6,-22.96
ORD-00226,2025-01-09,South,Office Supplies,Binders,Ring Binder,1,0.2,435.31,-27.53
ORD-00227,2024-10-22,West,Office Supplies,Storage,Storage Box,5,0.2,2615.88,-458.69
ORD-00228,2024-04-09,South,Office Supplies,Paper,Notebook Paper,6,0.05,1038.45,43.3
ORD-00229,2025-05-27,West,Furniture,Chairs,Office Chair,6,0.15,2454.83,-365.74
ORD-00230,2025-06-11,East,Office Supplies,Storage,Storage Box,3,0.15,2288.86,280.58
ORD-00231,2024-11-02,Central,Technology,Machines,Shredder,8,0.3,3397.2,-124.17
ORD-00232,2024-01-18,Central,Office Supplies,Storage,File Cabinet,7,0.2,1728.92,317.14
ORD-00233,2025-12-05,West,Technology,Accessories,Mouse,4,0.3,222.21,-7.55
ORD-00234,2025-06-20,South,Furniture,Bookcases,Wood Bookcase,1,0.2,721.62,-129.49
ORD-00235,2024-01-20,South,Office Supplies,Paper,Copy Paper,7,0.3,1159.25,-28.01
ORD-00236,2025-09-18,South,Technology,Machines,Printer,3,0.2,517.92,-41.68
ORD-00237,2025-11-09,South,Technology,Accessories,Mouse,3,0.15,2112.08,-126.79
ORD-00238,2024-12-28,Central,Technology,Accessories,Keyboard,4,0.1,1775.7,-180.34
ORD-00239,2024-10-31,Central,Technology,Phones,Office Phone,8,0.1,3075.12,162.44
ORD-00240,2024-10-07,Central,Furniture,Bookcases,Metal Bookcase,7,0.1,5218.36,861.67
ORD-00241,2024-10-24,West,Office Supplies,Storage,File Cabinet,6,0.15,3070.33,387.71
ORD-00242,2024-08-07,East,Technology,Accessories,Headset,5,0.05,519.41,77.03
ORD-00243,2024-09-02,East,Furniture,Bookcases,Wood Bookcase,4,0,392.62,-11.02
ORD-00244,2025-04-28,West,Technology,Phones,Smartphone,3,0.15,1528.23,286.69
ORD-00245,2025-05-02,South,Technology,Phones,Business Phone,6,0.1,3064.23,651.61
ORD-00246,2024-04-01,East,Technology,Machines,Shredder,1,0.05,341.63,65.87
ORD-00247,2024-02-07,South,Office Supplies,Binders,Presentation Binder,5,0,136.14,11.06
ORD-00248,2024-04-19,Central,Office Supplies,Paper,Notebook Paper,8,0.05,5402.23,123.11
ORD-00249,2024-07-16,West,Office Supplies,Binders,Presentation Binder,8,0.3,1632.93,-276.53
ORD-00250,2024-12-11,Central,Technology,Machines,Printer,3,0.2,1960.21,358.01
ORD-00251,2025-03-13,Central,Furniture,Tables,Computer Table,2,0.05,1551.79,42.1
ORD-00252,2024-09-11,West,Office Supplies,Paper,Copy Paper,8,0.1,5960.35,-394.01
ORD-00253,2025-08-09,West,Office Supplies,Storage,Storage Box,4,0,2163.49,73.74
ORD-00254,2024-06-12,South,Technology,Machines,Shredder,5,0.3,516.08,85.89
ORD-00255,2024-10-29,Central,Technology,Phones,Smartphone,3,0.15,402.76,50.93
ORD-00256,2025-09-12,Central,Office Supplies,Storage,Desk Organizer,8,0.2,4906.23,734.84
ORD-00257,2024-09-10,West,Technology,Accessories,Headset,6,0,4412.71,-566.52
ORD-00258,2025-07-14,East,Technology,Machines,Printer,3,0.1,2008.01,-3.52
ORD-00259,2025-11-27,East,Technology,Machines,Scanner,2,0.2,698.21,-142.72
ORD-00260,2024-05-15,South,Office Supplies,Storage,File Cabinet,8,0.3,4805.52,373.43
ORD-00261,2025-02-09,Central,Furniture,Bookcases,Wood Bookcase,2,0,700.97,99.66
ORD-00262,2025-07-08,West,Furniture,Tables,Office Table,5,0.15,771.85,-119.79
ORD-00263,2025-10-18,South,Office Supplies,Paper,Printer Paper,7,0.15,556.48,125.77
ORD-00264,2025-07-06,East,Technology,Accessories,Keyboard,3,0.2,930.77,-159.55
ORD-00265,2024-08-16,West,Furniture,Tables,Conference Table,7,0.2,2100.31,-261.18
ORD-00266,2025-04-16,Central,Furniture,Tables,Office Table,2,0,1302.79,16.74
ORD-00267,2024-01-17,East,Furniture,Chairs,Office Chair,1,0.15,468.04,49.62
ORD-00268,2024-02-19,East,Technology,Phones,Business Phone,8,0.05,3484,538.34
ORD-00269,2024-02-27,East,Technology,Accessories,Keyboard,6,0.2,2772.34,220.03
ORD-00270,2024-11-24,East,Office Supplies,Binders,Presentation Binder,4,0.15,979.4,-185.56
ORD-00271,2025-08-28,East,Technology,Machines,Scanner,8,0,6227.09,1576.26
ORD-00272,2025-11-18,South,Technology,Accessories,Headset,7,0.15,918.93,-40.73
ORD-00273,2025-07-04,South,Furniture,Chairs,Ergonomic Chair,3,0.15,2117.98,87.26
ORD-00274,2025-03-02,East,Office Supplies,Binders,Ring Binder,4,0.1,2045.28,448.37
ORD-00275,2025-01-14,West,Technology,Machines,Printer,1,0.1,306.34,22.45
ORD-00276,2024-02-10,West,Furniture,Bookcases,Wood Bookcase,8,0.05,5515.7,-216.97
ORD-00277,2024-01-16,East,Furniture,Bookcases,Wood Bookcase,8,0.05,4444.45,583.26
ORD-00278,2025-02-10,East,Technology,Accessories,Mouse,7,0.15,2939.21,-153.55
ORD-00279,2024-09-24,Central,Technology,Accessories,Mouse,2,0.3,714.47,93.79
ORD-00280,2024-07-27,Central,Office Supplies,Paper,Copy Paper,4,0.3,495.13,-66.86
ORD-00281,2025-08-21,South,Office Supplies,Binders,Premium Binder,6,0.05,1873.93,357.63
ORD-00282,2025-05-26,Central,Office Supplies,Paper,Notebook Paper,8,0.15,1164.41,172.55
ORD-00283,2024-06-22,East,Technology,Machines,Scanner,3,0.2,2258.49,475.03
ORD-00284,2025-06-20,West,Furniture,Bookcases,Wood Bookcase,1,0.15,122.47,8.89
ORD-00285,2024-03-10,East,Furniture,Chairs,Conference Chair,8,0.1,523.78,46.28
ORD-00286,2025-09-23,South,Technology,Accessories,Keyboard,1,0.2,427.77,-96.06
ORD-00287,2025-06-26,Central,Technology,Accessories,Keyboard,7,0.05,715.26,-106
ORD-00288,2024-06-01,East,Furniture,Bookcases,Metal Bookcase,6,0.1,3744.29,-631.48
ORD-00289,2025-02-19,South,Technology,Phones,Office Phone,4,0.1,2158.85,399.43
ORD-00290,2025-10-31,West,Furniture,Tables,Conference Table,7,0.2,2602.04,163.68
ORD-00291,2025-12-20,East,Furniture,Tables,Conference Table,6,0.2,4459.21,971.96
ORD-00292,2025-06-24,West,Furniture,Chairs,Conference Chair,8,0.1,439.28,-75.03
ORD-00293,2024-10-14,West,Furniture,Tables,Office Table,4,0.2,503.38,74.26
